order_id,product_id,quantity,unit_price
1,12,1,194.12
2,33,5,39.4
2,63,1,75.21
3,17,5,211.97
3,48,1,128.95
4,6,1,64.97
4,2,1,76.2
4,52,1,219.16
5,60,5,225.52
6,24,1,231.0
7,52,3,88.88
8,61,1,14.37
9,19,2,12.66
9,49,1,93.56
10,28,1,10.61
10,55,2,48.14
11,52,1,179.48
12,28,2,18.16
12,55,3,77.73
13,62,5,197.04
13,56,3,144.72
14,26,1,146.72
14,41,1,117.36
15,15,4,181.95
16,58,-1,187.69
17,22,4,56.38
17,2,3,8.96
17,16,5,116.71
18,55,3,48.06
19,21,4,212.04
20,37,1,202.45
20,3,4,188.73
21,13,5,202.43
21,54,2,116.37
22,61,1,199.46
23,51,1,196.63
23,35,2,226.14
23,31,1,
24,48,3,239.98
25,51,2,
26,55,1,100.64
26,52,3,
27,16,4,158.68
28,21,3,27.84
28,20,1,138.19
29,49,1,36.97
29,46,1,224.98
30,32,4,166.51
30,19,1,146.93
31,16,1,69.18
31,10,5,228.61
32,63,1,124.19
33,54,4,160.21
34,24,0,48.77
35,5,1,248.46
35,1,1,67.34
36,4,1,191.43
36,47,1,12.22
37,17,2,
38,38,5,126.46
38,52,2,53.47
38,36,4,199.31
39,27,5,114.3
40,41,1,110.17
41,9,5,13.26
42,53,2,219.92
42,46,-4,49.07
43,46,2,165.94
44,16,1,7.66
45,42,2,99.46
45,28,1,180.48
46,10,4,111.62
46,26,,
46,36,4,115.92
47,50,2,74.82
47,1,5,211.19
48,6,3,
48,54,2,189.64
49,41,5,101.36
49,59,5,241.94
50,14,1,207.23
51,56,2,51.82
52,1,1,197.3
53,10,2,155.11
54,22,1,34.37
55,53,5,132.82
56,63,2,184.05
56,34,2,91.48
57,27,1,126.17
58,28,5,51.03
58,27,3,81.39
58,20,1,58.59
59,26,4,73.06
59,40,1,219.66
60,3,5,11.99
61,46,2,139.81
61,28,1,110.55
62,35,3,163.9
62,55,2,103.65
63,64,4,17.21
63,15,2,224.28
64,9,1,221.23
65,51,4,184.8
65,35,5,197.49
66,37,1,128.28
67,40,2,171.94
67,43,5,8.11
68,3,1,220.9
69,46,5,124.63
70,6,1,247.64
71,22,1,29.49
71,43,5,90.93
72,63,2,8.31
72,43,5,173.01
72,3,1,214.78
73,46,-5,146.5
74,47,2,52.48
74,14,2,171.3
75,23,2,90.46
75,54,2,15.06
76,16,4,143.82
77,37,1,127.23
78,20,2,167.75
78,37,1,
79,16,1,6.24
80,7,2,220.28
81,20,1,39.94
81,56,1,12.86
82,50,4,226.51
83,40,1,171.33
84,18,2,106.99
84,40,1,232.13
85,49,4,134.0
86,46,5,119.3
86,60,1,11.46
87,18,2,147.17
88,38,1,101.19
88,1,5,219.34
89,11,1,246.6
90,13,2,174.19
90,16,1,131.47
91,18,2,161.71
91,40,1,157.79
92,1,1,
93,14,-5,128.91
94,39,4,50.08
95,34,5,156.19
95,3,1,187.42
96,26,5,75.91
96,64,3,100.83
97,60,4,41.29
98,50,1,13.34
99,57,1,91.9
99,59,0,43.78
99,27,3,133.63
100,20,3,142.96
101,36,2,21.7
102,49,5,49.18
102,34,1,149.26
103,52,,213.74
103,13,1,171.42
104,31,1,47.62
105,9,1,33.04
105,10,5,153.59
106,42,1,97.51
107,26,2,112.18
107,26,1,134.48
108,4,1,203.44
109,53,1,172.17
110,64,2,144.73
110,46,3,141.87
110,9,5,
111,17,2,
112,43,1,235.44
112,33,4,21.64
113,10,2,233.28
114,8,1,234.54
114,4,1,68.91
115,18,2,184.79
116,8,2,202.38
116,5,3,237.72
116,11,5,
117,64,2,110.71
118,3,-1,196.54
119,49,1,17.76
119,17,4,139.63
120,48,3,
121,12,1,188.12
122,6,1,
122,8,1,74.23
123,32,2,102.46
123,10,1,138.18
124,46,2,79.16
124,38,2,70.54
124,14,1,105.64
125,36,1,38.59
125,30,2,56.63
126,5,2,164.22
127,3,5,71.21
128,11,1,154.38
129,50,,55.39
129,56,1,12.66
130,44,2,149.77
131,56,4,232.49
132,50,2,234.79
133,34,1,119.49
133,31,1,73.76
134,11,2,77.47
135,36,3,66.37
