order_id,customer_id,order_date
1,6,2025-08-16
2,298,2025-08-15
3,257,2025-01-26
4,44,2025-05-26
5,106,2025-12-23
6,232,2025-11-04
7,12,2025-04-22
8,125,2026-07-20
9,237,2026-02-19
10,222,2025-07-22
11,3,2025-07-30
12,33,2026-07-04
13,235,2026-05-17
14,199,2025-04-27
15,89,11-01-2025
16,69,2025-09-02
17,73,2026-03-05
18,217,2026-07-05
19,89,2026-05-17
20,231,01-03-2026
21,100,2026-07-30
22,252,2026-03-31
23,16,2025-08-14
24,276,2026-04-14
25,254,2025-04-26
26,279,2026-01-11
27,226,2026-03-12
28,127,2025-02-03
29,45,01/05/2025
30,180,2026-03-15
31,106,2025-03-02
32,276,2025-10-27
33,264,2025-04-08
34,211,11/10/2025
35,68,26/11/2025
36,202,2025-10-03
37,39,2025-04-06
38,189,
39,48,2026-04-15
40,33,2026-02-12
41,109,27/11/2025
42,296,12/05/2026
43,25,2026-04-16
44,81,01-01-2025
45,68,2025-11-06
46,141,2026-01-05
47,85,09/11/2025
48,220,2025-04-08
49,68,
50,176,2026-03-09
51,118,2025-04-15
52,154,2025-05-17
53,36,2025-01-09
54,180,06-05-2025
55,227,30/03/2025
56,64,2026-01-29
57,72,2025-03-28
58,146,28/01/2025
59,155,2026-06-06
60,28,2025-09-03
61,256,2025-03-14
62,185,2025-05-16
63,216,26/06/2025
64,354,2025-01-15
65,31,2026-02-12
66,257,10/03/2026
67,275,2025-06-06
68,262,2025-06-09
69,34,24/03/2026
70,30,2026-03-21
71,29,2025-06-29
72,6,2025-12-22
73,133,10/05/2025
74,61,2025-01-31
75,269,2025-03-20
76,29,2025-06-20
77,53,2025-04-29
78,23,2025-01-13
79,197,07-03-2025
80,284,2026-03-06
81,164,2025-03-21
82,27,06-13-2026
83,36,17/10/2025
84,45,2025-01-09
85,156,2025-09-06
86,253,20/07/2025
87,126,2026-02-24
88,5,02/01/2025
89,158,06-27-2026
90,31,26/05/2025
91,119,2026-06-17
92,235,2025-03-28
93,202,2025-03-05
94,122,11-19-2025
95,168,2025-10-06
96,70,2025-04-22
97,239,2025-05-04
98,107,2026-04-20
99,81,08/11/2025
100,21,2025-12-02
101,183,2025-02-20
102,90,19/02/2026
103,282,2026-04-19
104,399,2025-08-16
105,191,2025-03-28
106,39,2025-03-08
107,66,2025-12-06
108,26,20/03/2026
109,16,2026-03-13
110,96,02/04/2026
111,126,2026-05-26
112,32,2026-01-28
113,270,11/07/2026
114,184,2026-05-12
115,165,2025-07-04
116,16,2025-10-15
117,272,08-27-2025
118,124,27/02/2025
119,295,2026-02-02
120,89,22/11/2025
121,15,12-27-2025
122,289,2026-05-20
123,20,
124,389,26/07/2025
125,91,2025-11-28
126,73,23/06/2026
127,192,2026-02-10
128,166,11/06/2025
129,250,28/06/2025
130,183,2025-06-29
131,151,01-02-2025
132,201,2025-02-03
133,114,04-17-2025
134,40,2025-11-24
135,46,2025-12-10
136,128,2025-12-25
137,1,25/03/2026
138,212,2026-01-23
139,246,2025-08-19
140,18,2025-11-23
141,176,2026-01-20
142,48,10/05/2026
143,85,2026-03-21
144,106,2026-02-24
145,277,2025-10-16
146,202,2026-05-18
147,219,
148,88,2025-03-25
149,204,2025-09-29
150,95,2026-01-26
151,135,2025-09-27
152,32,2025-04-10
153,278,2025-08-21
154,268,2026-07-03
155,294,2026-05-03
156,18,14/06/2026
157,76,2026-04-05
158,109,2025-05-10
159,223,01/06/2025
160,35,2026-07-24
161,142,13/01/2025
162,268,2025-04-26
163,299,04-13-2025
164,52,03/07/2026
165,136,2026-05-13
166,89,2025-05-28
167,206,2025-12-06
168,244,2026-01-17
169,156,19/05/2026
170,117,30/03/2026
171,214,2025-04-02
172,209,13/06/2026
173,264,2025-03-09
174,70,
175,99,25/07/2025
176,234,05/01/2026
177,238,2025-05-07
178,251,07-01-2025
179,283,17/06/2025
180,47,2026-01-31
181,110,2025-08-19
182,210,2025-01-10
183,89,2025-01-09
184,157,2025-10-09
185,179,2025-08-12
186,204,2025-01-08
187,192,2025-10-17
188,33,2025-10-11
189,134,2025-11-02
190,124,2026-02-18
191,14,2025-10-30
192,199,2025-07-14
193,274,05-03-2026
194,260,24/06/2025
195,93,2026-04-28
196,287,07-07-2025
197,46,17/08/2025
198,170,2025-10-29
199,28,2025-03-14
200,62,2026-01-26
201,78,2025-07-25
202,235,04/07/2025
203,91,2025-03-01
204,87,2025-06-12
205,46,2026-03-21
206,245,2025-02-08
207,8,2026-06-28
208,128,2025-12-19
209,258,2025-06-21
210,149,2026-06-17
211,69,2026-05-17
212,364,
213,259,11/01/2026
214,193,19/09/2025
215,25,2025-01-21
216,228,2026-07-15
217,106,2025-01-10
218,267,2025-05-21
219,262,2025-05-01
220,255,24/07/2025
221,104,2026-02-24
222,255,
223,46,2026-05-21
224,262,04-14-2025
225,234,2025-10-31
226,90,2025-10-25
227,219,08/04/2025
228,5,2025-06-24
229,138,2025-04-06
230,59,2026-04-13
231,245,2025-06-20
232,31,2025-06-13
233,248,2026-03-25
234,184,2025-05-14
235,211,2025-03-06
236,269,08-18-2025
237,174,2025-04-08
238,247,2026-01-30
239,360,02/06/2026
240,85,2026-05-19
241,143,2025-08-17
242,121,31/03/2026
243,256,05-02-2025
244,10,2026-02-27
245,47,08/11/2025
246,234,08/01/2026
247,233,30/04/2026
248,232,2025-08-16
249,150,18/01/2026
250,85,2026-02-24
251,97,2026-02-07
252,98,21/04/2025
253,64,2026-04-07
254,259,2026-05-26
255,284,05-10-2026
256,91,27/06/2025
257,199,2025-11-26
258,128,12-18-2025
259,69,2026-06-09
260,161,2026-07-21
261,149,05-16-2025
262,92,27/11/2025
263,288,2026-03-04
264,274,09/03/2026
265,13,2025-02-24
266,83,2025-09-14
267,152,2026-07-09
268,53,30/07/2026
269,288,08/06/2026
270,148,02-18-2025
271,161,2025-02-25
272,227,12/01/2026
273,101,2025-07-18
274,39,27/06/2025
275,21,2026-07-24
276,379,2025-06-08
277,27,2025-11-05
278,184,2025-11-22
279,267,2026-06-02
280,207,15/08/2025
281,170,08-12-2025
282,244,2025-01-10
283,124,09-07-2025
284,165,2025-04-27
285,145,14/06/2026
286,261,2025-02-14
287,165,2025-04-09
288,276,2025-03-09
289,110,11/03/2026
290,223,15/03/2025
291,236,2025-02-08
292,129,08-22-2025
293,231,2026-03-20
294,61,06/03/2025
295,38,2026-05-30
296,155,16/10/2025
297,203,2025-02-01
298,70,2026-07-13
299,153,
300,285,2025-02-12
301,276,2025-03-29
302,177,2026-06-09
303,130,2025-07-05
304,28,2026-07-17
305,149,2025-09-14
306,250,2026-01-01
307,52,03-13-2025
308,231,2025-11-10
309,291,11-20-2025
310,161,15/08/2025
311,142,2025-05-18
312,246,03/01/2026
313,56,25/03/2025
314,72,2025-07-21
315,40,20/01/2025
316,298,08-06-2025
317,279,2026-07-07
318,188,2025-10-25
319,47,2026-05-30
320,85,2025-05-24
321,290,30/05/2025
322,184,2026-05-15
323,120,2025-07-31
324,199,11/04/2026
325,166,2026-06-18
326,135,2025-06-28
327,40,01-21-2026
328,208,2025-12-20
329,4,2025-05-23
330,264,2025-08-05
331,61,01/03/2026
332,247,2026-05-06
333,211,2025-02-14
334,69,10/02/2025
335,86,2025-07-04
336,289,10-18-2025
337,242,2025-06-24
338,74,2025-07-06
339,86,12-17-2025
340,36,
341,268,2026-06-01
342,50,09/02/2025
343,61,05-14-2025
344,1,2026-03-18
345,23,2026-03-16
346,196,2025-04-11
347,120,2025-03-27
348,210,06/01/2025
349,296,2026-06-17
350,162,2025-04-20
351,130,2026-07-03
352,142,11/02/2026
353,286,2026-01-15
354,158,12/02/2026
355,61,03/04/2026
356,52,15/02/2026
357,27,06/01/2025
358,242,2026-03-22
359,190,08/02/2025
360,206,2026-06-18
361,30,2025-06-29
362,104,2026-06-15
363,262,2025-08-26
364,185,01-01-2025
365,142,2025-12-28
366,103,03-12-2025
367,287,2025-12-23
368,116,2025-07-19
369,3,2026-02-21
370,258,30/04/2025
371,276,2025-09-14
372,289,07/09/2025
373,235,2025-01-29
374,196,2025-08-14
375,162,
376,135,2025-04-06
377,176,2025-07-02
378,294,2025-07-14
379,124,2025-07-31
380,183,2025-04-20
381,253,07-09-2026
382,191,20/05/2026
383,295,2026-05-18
384,262,16/08/2025
385,270,05-05-2026
386,178,2025-06-28
387,266,2025-01-09
388,298,2026-01-06
389,281,2025-10-03
390,188,2026-03-11
391,191,2026-02-15
392,68,23/08/2025
393,121,2026-01-26
394,77,2025-01-10
395,265,20/11/2025
396,288,2025-02-18
397,31,2025-09-18
398,231,2025-09-24
399,132,2026-02-26
400,102,2026-07-06
401,182,2026-06-07
402,41,2025-10-21
403,86,2025-12-12
404,208,2025-03-15
405,161,26/10/2025
406,203,01/04/2026
407,267,2026-02-28
408,65,09-15-2025
409,41,2026-02-11
410,243,27/01/2025
411,43,2025-06-09
412,200,11/09/2025
413,65,2025-06-24
414,167,04-24-2026
415,140,05-19-2025
416,91,2026-04-13
417,289,2026-07-01
418,277,2025-04-02
419,134,2025-01-11
420,70,2026-04-26
421,252,2026-05-04
422,150,2025-01-08
423,288,2025-09-13
424,200,2025-08-14
425,123,2025-10-06
426,138,2025-03-12
427,234,06/10/2025
428,353,2026-07-02
429,145,25/03/2026
430,363,2025-12-17
431,256,2026-04-20
432,42,2025-05-30
433,37,2025-07-05
434,196,05-05-2025
435,198,2026-03-30
436,102,2025-04-07
437,243,11-16-2025
438,22,2026-07-17
439,153,23/02/2025
440,58,2026-03-21
441,142,
442,22,2026-05-02
443,46,2026-05-27
444,31,07/06/2025
445,65,11-21-2025
446,178,
447,194,2025-05-18
448,225,2026-07-10
449,96,28/11/2025
450,284,2026-06-28
451,135,2026-04-10
452,195,2025-01-20
453,123,2025-03-06
454,199,25/05/2026
455,145,2025-11-26
456,35,2025-05-13
457,55,2025-04-12
458,199,2026-06-23
459,26,2025-03-14
460,252,2025-03-23
461,185,02/03/2026
462,30,2025-09-30
463,156,08-10-2025
464,119,2025-07-14
465,292,2025-07-03
466,55,2026-01-02
467,219,20/06/2025
468,259,2025-06-11
469,181,07-18-2026
470,191,17/03/2026
471,124,2025-08-08
472,131,2026-04-09
473,18,2025-01-17
474,364,
475,142,2026-06-08
476,80,2026-04-17
477,188,2025-09-13
478,48,11/08/2025
479,248,2025-04-08
480,296,02-27-2025
481,223,04/05/2025
482,6,2026-01-27
483,164,2025-06-03
484,79,02-07-2026
485,295,2025-08-16
486,76,2025-03-26
487,281,2025-03-29
488,67,2026-05-08
489,293,2026-06-21
490,221,2025-04-02
491,188,2025-11-25
492,157,2025-12-25
493,227,2026-03-28
494,103,09/06/2025
495,58,09-06-2025
496,394,2025-04-24
497,170,2026-07-05
498,133,2025-05-25
499,193,2026-06-24
500,146,2025-10-05
501,5,2025-10-05
502,185,2025-01-20
503,198,2026-01-25
504,162,2026-06-29
505,235,2025-01-23
506,157,
507,181,2025-11-06
508,257,2025-03-05
509,16,2025-10-14
510,202,31/03/2025
511,117,2025-06-06
512,169,2025-05-15
513,278,27/07/2025
514,269,03-17-2026
515,75,2025-06-11
516,61,30/05/2025
517,212,2025-11-07
518,141,2025-07-12
519,137,2025-08-25
520,14,2026-05-04
521,241,2026-01-18
522,243,2025-07-17
523,8,2026-02-27
524,104,2025-03-09
525,225,2026-05-17
526,127,2025-02-12
527,161,2026-07-04
528,20,2026-04-08
529,126,02-10-2026
530,199,2025-02-20
531,156,2025-10-20
532,28,2025-05-26
533,47,2025-04-26
534,280,
535,233,26/07/2025
536,166,17/06/2025
537,59,2026-01-07
538,262,2025-06-13
539,88,2025-06-03
540,27,13/11/2025
541,148,01/05/2025
542,2,2025-09-17
543,256,2025-01-06
544,112,2026-05-03
545,4,2026-07-15
546,107,2025-06-01
547,75,2025-11-02
548,56,2025-07-02
549,294,07-01-2025
550,185,06/04/2025
551,195,14/03/2026
552,242,2025-10-09
553,108,2025-03-01
554,271,11/05/2026
555,148,2025-11-21
556,182,2026-07-31
557,255,04/07/2025
558,149,2025-01-02
559,61,01/08/2025
560,212,2025-12-25
561,6,2025-10-16
562,154,28/11/2025
563,171,30/01/2025
564,174,05-06-2026
565,70,17/04/2026
566,172,02-28-2026
567,267,
568,296,2025-12-29
569,16,2026-01-20
570,293,2025-07-11
571,158,19/11/2025
572,45,2025-09-01
573,155,2025-11-06
574,20,
575,248,2025-06-07
576,269,2025-12-02
577,265,2025-05-16
578,199,2026-06-19
579,23,2025-03-31
580,53,2025-11-16
581,108,2025-07-17
582,226,2025-10-07
583,8,2026-07-28
584,180,2025-10-05
585,146,2025-06-25
586,174,2025-02-21
587,26,2025-02-25
588,229,2025-11-16
589,274,2026-04-22
590,240,2025-11-14
591,239,2025-08-18
592,133,2026-02-06
593,170,2025-11-29
594,244,2026-05-06
595,179,2025-05-11
596,55,14/03/2025
597,206,2025-09-02
598,247,2025-12-15
599,221,2026-03-22
600,121,21/03/2025
601,250,2026-04-20
602,228,2026-02-20
603,195,2025-03-04
604,298,01/01/2025
605,232,2026-02-04
606,106,2025-11-21
607,156,22/03/2026
608,46,2026-06-07
609,151,
610,287,2026-01-03
611,16,2026-02-08
612,208,2026-07-13
613,72,29/01/2026
614,214,2025-05-09
615,9,2026-05-14
616,70,02/03/2026
617,218,2026-04-11
618,231,2025-08-20
619,296,31/08/2025
620,280,02-04-2025
621,189,05-09-2026
622,270,2025-10-14
623,46,2025-03-21
624,297,02-24-2025
625,6,06-09-2026
626,170,2025-10-29
627,156,2025-09-24
628,87,26/10/2025
629,147,2025-05-10
630,143,2025-10-15
631,58,2025-06-04
632,90,2025-08-30
633,17,03-28-2025
634,79,27/02/2026
635,226,2025-06-21
636,177,28/09/2025
637,86,2026-05-03
638,273,2026-02-04
639,378,2026-01-27
640,22,2026-06-29
641,222,2025-10-07
642,51,2026-02-05
643,124,2025-07-19
644,93,2025-01-11
645,7,2026-06-22
646,113,
647,48,08-11-2025
648,62,2025-05-14
649,290,09/07/2025
650,130,2025-03-19
651,142,2025-11-28
652,142,2026-01-27
653,133,2025-09-29
654,103,2025-07-02
655,277,2025-08-12
656,227,2025-04-16
657,129,20/01/2025
658,1,2026-02-04
659,201,12/06/2026
660,245,
661,247,07-03-2026
662,156,2025-04-03
663,175,16/04/2026
664,104,02-10-2025
665,154,2025-04-20
666,44,25/03/2026
667,99,2025-09-02
668,277,2026-05-27
669,231,2025-01-17
670,22,05/08/2025
671,235,2026-07-04
672,37,
673,24,2025-05-14
674,158,2025-04-10
675,33,2025-04-19
676,113,2025-07-27
677,206,2026-07-13
678,110,2025-06-27
679,73,2025-06-22
680,225,2025-02-11
